filename,kappa,c,logL,detector,duration,sample_rate,filepath
H-H1_GWOSC_16KHZ_R1-1167557889-4096.hdf5,1.0,0.75,-127403.40014757092,H1,4096,16384.0,data\H-H1_GWOSC_16KHZ_R1-1167557889-4096.hdf5
H-H1_GWOSC_16KHZ_R1-1167559921-32.hdf5,0.0,0.0,-576229.2224263981,H1,32,16384.0,data\H-H1_GWOSC_16KHZ_R1-1167559921-32.hdf5
H-H1_GWOSC_16KHZ_R1-1167559921-32.hdf5,0.0,0.75,-576229.2224263981,H1,32,16384.0,data\H-H1_GWOSC_16KHZ_R1-1167559921-32.hdf5
H-H1_GWOSC_16KHZ_R1-1167559921-32.hdf5,1.0,0.0,-127944.56587793076,H1,32,16384.0,data\H-H1_GWOSC_16KHZ_R1-1167559921-32.hdf5
H-H1_GWOSC_16KHZ_R1-1167559921-32.hdf5,1.0,0.75,-127380.21355929828,H1,32,16384.0,data\H-H1_GWOSC_16KHZ_R1-1167559921-32.hdf5
H-H1_GWOSC_16KHZ_R1-1187527209-4096.hdf5,0.0,0.0,-576097.9971532541,H1,4096,16384.0,data\H-H1_GWOSC_16KHZ_R1-1187527209-4096.hdf5
H-H1_GWOSC_16KHZ_R1-1187527209-4096.hdf5,0.0,0.75,-576097.9971532541,H1,4096,16384.0,data\H-H1_GWOSC_16KHZ_R1-1187527209-4096.hdf5
H-H1_GWOSC_16KHZ_R1-1187527209-4096.hdf5,1.0,0.0,-127970.19021738692,H1,4096,16384.0,data\H-H1_GWOSC_16KHZ_R1-1187527209-4096.hdf5
H-H1_GWOSC_16KHZ_R1-1187527209-4096.hdf5,1.0,0.75,-127406.57342478032,H1,4096,16384.0,data\H-H1_GWOSC_16KHZ_R1-1187527209-4096.hdf5
H-H1_GWOSC_16KHZ_R1-1187529241-32.hdf5,0.0,0.0,-576160.3283751635,H1,32,16384.0,data\H-H1_GWOSC_16KHZ_R1-1187529241-32.hdf5
H-H1_GWOSC_16KHZ_R1-1187529241-32.hdf5,0.0,0.75,-576160.3283751635,H1,32,16384.0,data\H-H1_GWOSC_16KHZ_R1-1187529241-32.hdf5
H-H1_GWOSC_16KHZ_R1-1187529241-32.hdf5,1.0,0.0,-127957.05598340898,H1,32,16384.0,data\H-H1_GWOSC_16KHZ_R1-1187529241-32.hdf5
H-H1_GWOSC_16KHZ_R1-1187529241-32.hdf5,1.0,0.75,-127393.14473789968,H1,32,16384.0,data\H-H1_GWOSC_16KHZ_R1-1187529241-32.hdf5
H-H1_GWOSC_16KHZ_R1-1242984058-32.hdf5,0.0,0.0,-576166.8261606133,H1,32,16384.0,data\H-H1_GWOSC_16KHZ_R1-1242984058-32.hdf5
H-H1_GWOSC_16KHZ_R1-1242984058-32.hdf5,0.0,0.75,-576166.8261606133,H1,32,16384.0,data\H-H1_GWOSC_16KHZ_R1-1242984058-32.hdf5
H-H1_GWOSC_16KHZ_R1-1242984058-32.hdf5,1.0,0.0,-127959.4512629437,H1,32,16384.0,data\H-H1_GWOSC_16KHZ_R1-1242984058-32.hdf5
H-H1_GWOSC_16KHZ_R1-1242984058-32.hdf5,1.0,0.75,-127396.13957139615,H1,32,16384.0,data\H-H1_GWOSC_16KHZ_R1-1242984058-32.hdf5
H-H1_GWOSC_16KHZ_R1-1249852241-32.hdf5,0.0,0.0,-576155.7846339996,H1,32,16384.0,data\H-H1_GWOSC_16KHZ_R1-1249852241-32.hdf5
H-H1_GWOSC_16KHZ_R1-1249852241-32.hdf5,0.0,0.75,-576155.7846339996,H1,32,16384.0,data\H-H1_GWOSC_16KHZ_R1-1249852241-32.hdf5
H-H1_GWOSC_16KHZ_R1-1249852241-32.hdf5,1.0,0.0,-127960.71620960254,H1,32,16384.0,data\H-H1_GWOSC_16KHZ_R1-1249852241-32.hdf5
H-H1_GWOSC_16KHZ_R1-1249852241-32.hdf5,1.0,0.75,-127397.13804275148,H1,32,16384.0,data\H-H1_GWOSC_16KHZ_R1-1249852241-32.hdf5
H-H1_GWOSC_16KHZ_R1-1251009248-32.hdf5,0.0,0.0,-576160.5458433437,H1,32,16384.0,data\H-H1_GWOSC_16KHZ_R1-1251009248-32.hdf5
H-H1_GWOSC_16KHZ_R1-1251009248-32.hdf5,0.0,0.75,-576160.5458433437,H1,32,16384.0,data\H-H1_GWOSC_16KHZ_R1-1251009248-32.hdf5
H-H1_GWOSC_16KHZ_R1-1251009248-32.hdf5,1.0,0.0,-127960.93799614624,H1,32,16384.0,data\H-H1_GWOSC_16KHZ_R1-1251009248-32.hdf5
H-H1_GWOSC_16KHZ_R1-1251009248-32.hdf5,1.0,0.75,-127397.80843183036,H1,32,16384.0,data\H-H1_GWOSC_16KHZ_R1-1251009248-32.hdf5
H-H1_GWOSC_16KHZ_R1-1251010512-32.hdf5,0.0,0.0,-576183.2388822226,H1,32,16384.0,data\H-H1_GWOSC_16KHZ_R1-1251010512-32.hdf5
H-H1_GWOSC_16KHZ_R1-1251010512-32.hdf5,0.0,0.75,-576183.2388822226,H1,32,16384.0,data\H-H1_GWOSC_16KHZ_R1-1251010512-32.hdf5
H-H1_GWOSC_16KHZ_R1-1251010512-32.hdf5,1.0,0.0,-127957.41071305716,H1,32,16384.0,data\H-H1_GWOSC_16KHZ_R1-1251010512-32.hdf5
H-H1_GWOSC_16KHZ_R1-1251010512-32.hdf5,1.0,0.75,-127394.40137708526,H1,32,16384.0,data\H-H1_GWOSC_16KHZ_R1-1251010512-32.hdf5
H-H1_GWOSC_16KHZ_R1-1252627025-32.hdf5,0.0,0.0,-576188.6802105192,H1,32,16384.0,data\H-H1_GWOSC_16KHZ_R1-1252627025-32.hdf5
