filename,best_kappa,best_c,best_logL,entropy_shape,data_points,energy_min,energy_max,obs_min,obs_max,meta_detector,meta_duration,meta_sample_rate,meta_filepath
H-H1_GWOSC_4KHZ_R1-1260484255-32.hdf5,1.0,0.75,-127399.80858155616,log,400,100.0,150.0,0.001,0.005,H1,32.0,4096.0,data\H-H1_GWOSC_4KHZ_R1-1260484255-32.hdf5
H-H1_GWOSC_O2_16KHZ_R1-1185681408-4096.hdf5,1.0,0.75,-127405.2795366613,log,400,100.0,150.0,0.001,0.005,H1,4096.0,16384.0,data\H-H1_GWOSC_O2_16KHZ_R1-1185681408-4096.hdf5
L-L1_GWOSC_16KHZ_R1-1187529241-32.hdf5,1.0,0.75,-127336.35423394945,log,400,100.0,150.0,0.001,0.005,L1,32.0,16384.0,data\L-L1_GWOSC_16KHZ_R1-1187529241-32.hdf5
L-L1_GWOSC_16KHZ_R1-1242984058-32.hdf5,1.0,0.75,-127400.46069684676,log,400,100.0,150.0,0.001,0.005,L1,32.0,16384.0,data\L-L1_GWOSC_16KHZ_R1-1242984058-32.hdf5
L-L1_GWOSC_16KHZ_R1-1245035064-32.hdf5,1.0,0.75,-127400.20271759274,log,400,100.0,150.0,0.001,0.005,L1,32.0,16384.0,data\L-L1_GWOSC_16KHZ_R1-1245035064-32.hdf5
L-L1_GWOSC_16KHZ_R1-1260484255-32.hdf5,1.0,0.75,-127400.9115367674,log,400,100.0,150.0,0.001,0.005,L1,32.0,16384.0,data\L-L1_GWOSC_16KHZ_R1-1260484255-32.hdf5
L-L1_GWOSC_16KHZ_R1-1369417271-4096.hdf5,1.0,0.75,-127402.3961807143,log,400,100.0,150.0,0.001,0.005,L1,4096.0,16384.0,data\L-L1_GWOSC_16KHZ_R1-1369417271-4096.hdf5
L-L1_GWOSC_16KHZ_R1-1369419303-32.hdf5,1.0,0.75,-127380.43463520044,log,400,100.0,150.0,0.001,0.005,L1,32.0,16384.0,data\L-L1_GWOSC_16KHZ_R1-1369419303-32.hdf5
L-L1_GWOSC_4KHZ_R1-1126257415-4096.hdf5,1.0,0.75,-124581.38938899447,log,400,100.0,150.0,0.001,0.005,L1,4096.0,4096.0,data\L-L1_GWOSC_4KHZ_R1-1126257415-4096.hdf5
L-L1_GWOSC_4KHZ_R1-1167557889-4096.hdf5,1.0,0.75,-127364.97920523596,log,400,100.0,150.0,0.001,0.005,L1,4096.0,4096.0,data\L-L1_GWOSC_4KHZ_R1-1167557889-4096.hdf5
L-L1_GWOSC_4KHZ_R1-1187527209-4096.hdf5,1.0,0.75,-127407.28450052338,log,400,100.0,150.0,0.001,0.005,L1,4096.0,4096.0,data\L-L1_GWOSC_4KHZ_R1-1187527209-4096.hdf5
L-L1_GWOSC_4KHZ_R1-1253509418-32.hdf5,1.0,0.75,-127406.9449901276,log,400,100.0,150.0,0.001,0.005,L1,32.0,4096.0,data\L-L1_GWOSC_4KHZ_R1-1253509418-32.hdf5
L-L1_GWOSC_4KHZ_R1-1260484255-32.hdf5,1.0,0.75,-127407.72781430364,log,400,100.0,150.0,0.001,0.005,L1,32.0,4096.0,data\L-L1_GWOSC_4KHZ_R1-1260484255-32.hdf5
